Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
,Classe de Custo,Real,Plan,Desv.(abs)
,    60249222  EPIs,8845.8,0,8845.8
,    60249221  Uniformes,6648.98,0,6648.98
,    60249010  Uniformes,0,12000,-12000
,BR016517 INOVAT SP SOFT - FM,15494.779999999999,12000,3494.779999999999
