Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
,BR014545 LEROY MERLIN CAJAMAR,Real,Plan,Desv.(abs)
,    60249011  EPIs,15120.85,0,15120.85
,    60249222  EPIs,58,0,58
,    60249221  Uniformes,0,24000,-24000
,    60249010  Uniformes,15593.6,0,15593.6
,TOTAL,30772.45,24000,6772.450000000001
