Nº Cardápio,,Data,,,Nome,,Porção ,Calorias,Custo,% Cons,Custo per Capita,,Nome,Porção ,Calorias,Custo,% Cons,Custo per Capita,Nome,Porção ,Calorias,Custo,% Cons,Custo per Capita,Nome,,Porção ,Calorias,Custo,% Cons,Custo per Capita,Nome,Porção ,Calorias,,Custo,% Cons,Custo per Capita,Nome,Porção ,Calorias,Custo,% Cons,Custo per Capita,Nome,Porção ,Calorias,Custo,% Cons,Custo per Capita,Nome,Porção ,Calorias,Custo,% Cons,Custo per Capita,Nome,Porção ,Calorias,Custo,% Cons,Custo per Capita,Nome,Porção ,Calorias,Custo,% Cons,Custo per Capita,Nome,Porção ,Calorias,Custo,% Cons,Custo per Capita,Nome,Porção ,Calorias,Custo,% Cons,Custo per Capita,Nome,Porção ,Calorias,Custo,% Cons,Custo per Capita,Nome,Porção ,Calorias,Custo,% Cons,Custo per Capita,Nome,Porção ,Calorias,Custo,% Cons,Custo per Capita,Nome,Porção ,Calorias,Custo,% Cons,Custo per Capita,Nome,Porção ,Calorias,Custo,% Cons,Custo per Capita,Nome,Porção ,Calorias,Custo,% Cons,Custo per Capita,Nome,Porção ,Calorias,Custo,% Cons,Custo per Capita,Nome,Porção ,Calorias,Custo,% Cons,Custo per Capita,Nome,Porção ,Calorias,Custo,% Cons,Custo per Capita,Nome,Porção ,Calorias,Custo,% Cons,Custo per Capita,Nome,Porção ,Calorias,Custo,% Cons,Custo per Capita,Nome,Porção ,Calorias,Custo,% Cons,Custo per Capita,
60,,01/01/2026,quinta-feira,,Arroz Branco II,,"0,105","361,358","0,37",100%,"0,37",,Arroz Integral,"0,012","5,44351","0,06",10%,"0,01",Feijão Carioca II,"0,046","155,108","0,3",100%,"0,3",Sassami a dorê L30,,"0,382","588,13545","5,58",70%,"3,91",Moqueca Suína L30,"0,317","132,33625",,"6,81",25%,"1,7",Omelete,"0,02","2,819904","1,32",5%,"0,07",Polenta Cremosa,"0,039","136,4215","0,17",100%,"0,17",Batata Doce Corada,"0,142","316,2264","0,46",98%,"0,46",Sopa de Batata com Espinafre,"0,055","9,00975","0,2",30%,"0,06",Salada Mix de Folhas,"0,02","3,07","0,18",100%,"0,18",,,,,,,Salada Mista Verde,"0,025","4,56","0,1",100%,"0,1",Salada de Lentilha,"0,03","56,585","0,32",100%,"0,32",Salada de Legumes Verde,"0,057","14,035","0,19",100%,"0,19",Salada de Tomate,"0,11","2,046","0,36",10%,"0,04",Torta de Bolachas de Chocolate,"0,026","96,993072","0,43",99%,"0,43",Gelatina Mix,"0,008","28,2528","0,32",90%,"0,28",Salada de Frutas,"0,12","6,1695","0,51",10%,"0,05",Suco Concentrado 4,"0,06","77,752","0,72",100%,"0,72",Água Saborizada,"0,002","0,876336","0,01",100%,"0,01",Suco Detox de Beterraba com Limão,"0,016","4,8975","0,05",50%,"0,02",Pão Francês Refeição,"0,025","22,0725","0,25",30%,"0,07",Mesa de Molhos,"0,807","4,09078","0,14",100%,"0,14",Kibe de Abóbora com Mussarela L30,"0,094","15,13821","0,59",10%,"0,06","9,66"
61,,02/01/2026,sexta-feira,,Arroz Branco II,,"0,105","325,2222","0,37",90%,"0,33",,Arroz Integral,"0,012","5,44351","0,06",10%,"0,01",Feijão Carioca II,"0,046","155,108","0,3",100%,"0,3",Bife de Panela L30,,"0,318","47,9766","10,45",70%,"7,32",Empanado de Frango L30,"0,32","246,75",,"3,54",25%,"0,88",Ovos Mexidos,"2,002","0,517","1,16",5%,"0,06",Purê de Batata,"0,015","51,56784","0,3",100%,"0,3",Chuchu Refogado,"0,102","16,3308","0,23",80%,"0,18",Sopa de Legumes,"0,053","9,68715","0,15",30%,"0,05",Salada de Alface Crespa,"0,025","3,45","0,13",100%,"0,13",Salada Mix de Folhas,"0,02","3,07","0,18",100%,"0,18",Salada de Pepino com Hortelã,"0,031","3,856","0,08",100%,"0,08",Salada de Trigo com Abacaxi,"0,037","63,8775888","0,21",99.8%,"0,21",Salada de Tomate,"0,11","2,046","0,36",10%,"0,04",Salada de Cenoura Ralada,"0,04","1,52028","0,12",10%,"0,01",Danoninho Especial,"0,01","34,3236","0,13",100%,"0,13",Gelatina Mix,"0,008","31,07808","0,32",99%,"0,31",Mamão,"0,13","0,6565","0,51",1%,"0,01",Suco Concentrado 1,"0,075","65,88","0,93",100%,"0,93",Água Saborizada,"0,002","0,876336","0,01",100%,"0,01",,,,,,,Pão Francês Refeição,"0,025","22,0725","0,25",30%,"0,07",Mesa de Molhos,"0,807","4,09078","0,14",100%,"0,14",Panqueca de Legumes,"0,19","17,089","1,07",10%,"0,11","11,79"
62,,03/01/2026,sábado,,Arroz Branco II,,"0,105","325,2222","0,37",90%,"0,33",,Arroz Integral,"0,012","5,44351","0,06",10%,"0,01",Feijão Carioca II,"0,046","155,108","0,3",100%,"0,3",Filé de Frango ao Molho de Queijo L30,,"0,318","204,8275","5,49",50%,"2,74",Lasanha à Bolonhesa Pronta L30,"0,3","29,808",,"4,73",45%,"2,13",Omelete,"0,02","2,819904","1,32",5%,"0,07",Farofa Simples,"0,037","128,256","0,17",100%,"0,17",Cenoura Saute,"0,074","44,006704","0,23",98%,"0,22",Sopa Creme de Abóbora,"0,06","8,5344","0,15",30%,"0,04",Salada Mix de Folhas,"0,02","3,07","0,18",100%,"0,18",,,,,,,Salada de Tomate,"0,11","20,46","0,36",100%,"0,36",Salada Mista Verde,"0,025","4,56","0,1",100%,"0,1",Salada de Repolho Bicolor,"0,015","0,618","0,04",10%,0,Salada de Lentilha,"0,03","5,6585","0,32",10%,"0,03",Creme Torta de Limão,"0,012","45,684","0,16",100%,"0,16",Gelatina Mix,"0,008","31,07808","0,32",99%,"0,31",Melão,"0,13","0,4264","0,49",1%,0,Suco Concentrado 2,"0,08","77,472","0,97",100%,"0,97",Água Saborizada,"0,002","0,00876336","0,01",1%,0,,,,,,,Pão Francês Refeição,"0,025","22,0725","0,25",30%,"0,07",Mesa de Molhos,"0,807","4,09078","0,14",100%,"0,14",Tomate Recheado com Berinjela,"0,161","3,310802","0,56",10%,"0,06","8,39"
63,,04/01/2026,domingo,,Arroz Branco II,,"0,105","397,4938","0,37",110%,"0,4",,Arroz Integral,"0,012","5,44351","0,06",10%,"0,01",Feijão Carioca II,"0,046","155,108","0,3",100%,"0,3",Filé de Frango Grelhado L30,,"0,302","171,90675","5,05",50%,"2,52",Hamburguer Bovino à Pizzaiolo L30,"0,31","282,6464",,"6,6",40%,"2,64",Omelete,"0,02","2,819904","1,32",5%,"0,07",Legumes Saute,"0,082","20,8605","0,2",100%,"0,2",Verduras Refogadas,"0,08","17,42783","0,5",98%,"0,49",Sopa de Legumes,"0,053","9,68715","0,15",30%,"0,05",Salada de Almeirão,"0,02","4,44","0,1",100%,"0,1",Salada Mix de Folhas,"0,02","3,07","0,18",100%,"0,18",Salada de Tomate,"0,11","20,46","0,36",100%,"0,36",Salada de Cebola Colorida,"0,037","17,046","0,13",100%,"0,13",Salada de Cenoura Cozida,"0,07","26,43354","0,2",99.9%,"0,2",Salada de Feijão Fradinho Enfarofado,"0,024","88,431283","0,13",99.8%,"0,13",Gelatina Mix,"0,008","31,392","0,32",100%,"0,32",Mousse de Goiaba,"0,035","105,33204","0,35",99%,"0,34",Salada de Frutas,"0,12","0,61695","0,51",1%,"0,01",Suco Concentrado 3,"0,08","12,152","0,99",100%,"0,99",Água Saborizada,"0,002","0,876336","0,01",100%,"0,01",,,,,,,Pão Francês Refeição,"0,025","22,0725","0,25",30%,"0,07",Mesa de Molhos,"0,807","4,09078","0,14",100%,"0,14",Arroz de Forno L30,"0,122","36,6499","0,45",10%,"0,04","9,7"
1,,05/01/2026,segunda-feira,,Arroz Branco II,,"0,105","325,2222","0,37",90%,"0,33",,Arroz Integral,"0,012","5,44351","0,06",10%,"0,01",Feijão Carioca II,"0,046","155,108","0,3",100%,"0,3",Bife de Copa Lombo ao Molho de Abacaxi L30,,"0,317","359,835","5,67",50%,"2,84",Cubos de Frango ao Molho Aurora L30,"0,309","167,05926",,"5,17",45%,"2,33",Ovo Frito L30,"3,003","0,45","1,72",5%,"0,09",Legumes Saute,"0,082","20,8605","0,2",100%,"0,2",Massa ao Pesto,"0,063","224,15099","0,34",98%,"0,33",Sopa de Feijão Branco,"0,02","15,4299","0,2",30%,"0,06",Salada de Acelga,"0,02","4,98","0,05",100%,"0,05",Salada Mix de Folhas,"0,02","3,07","0,18",100%,"0,18",Salada de Rabanete Chips,"0,015","2,595","0,09",100%,"0,09",Salada de Lentilha,"0,03","56,528415","0,32",99.9%,"0,32",Salada de Tomate,"0,11","14,322","0,36",70%,"0,25",,,,,,,Doce de Leite Cremoso,"0,04","106,92","0,42",99%,"0,41",Gelatina Mix,"0,008","21,9744","0,32",70%,"0,22",Melão,"0,13","4,264","0,49",10%,"0,05",Suco Concentrado 1,"0,075","65,88","0,93",100%,"0,93",Água Saborizada,"0,002","0,876336","0,01",100%,"0,01",,,,,,,Pão Francês Refeição,"0,025","22,0725","0,25",30%,"0,07",Mesa de Molhos,"0,807","4,09078","0,14",100%,"0,14",Almôndega de Soja Recheada com Queijo,"0,148","14,8142","0,88",10%,"0,09","9,3"
2,,06/01/2026,terça-feira,,Arroz Branco II,,"0,105","325,2222","0,37",90%,"0,33",,Arroz Integral,"0,012","5,44351","0,06",10%,"0,01",Feijão Carioca II,"0,046","155,108","0,3",100%,"0,3",Steak Bovino ao Molho Mostarda L30,,"0,305","564,3079","5,96",65%,"3,87",Filé de Coxa Assado L30,"0,302","141,03405",,"3,91",30%,"1,17",Ovo Cozido,"2,001",0,"1,14",5%,"0,06",Farofa,"0,022","74,9363","0,1",100%,"0,1",Repolho Refogado com Tomates e Ervas,"0,081","39,5283","0,21",98%,"0,21",Sopa Caipira,"0,064","14,72955","0,22",30%,"0,07",Salada de Alface Crespa,"0,025","3,45","0,13",100%,"0,13",Salada Mix de Folhas,"0,02","3,07","0,19",100%,"0,19",Salada de Cenoura Ralada com Laranja,"0,04","15,39","0,13",100%,"0,13",Salada de Abobrinha com Pimentão,"0,067","14,77521","0,16",99.9%,"0,16",Salada de Soja com Cebolinha,"0,017","35,928","0,1",99.8%,"0,1",Salada de Tomate,"0,11","14,322","0,36",70%,"0,25",Delícia de Pêssego,"0,016","40,824","0,23",70%,"0,16",Gelatina Mix,"0,008","6,2784","0,32",20%,"0,06",Laranja,"0,1","4,05","0,38",10%,"0,04",Suco Concentrado 2,"0,08","77,472","0,97",100%,"0,97",Água Saborizada,"0,002","0,876336","0,01",100%,"0,01","Suco Detox de Abacaxi, Cenoura, Limão e Hortelã","0,053","13,517","0,25",50%,"0,12",Pão Francês Refeição,"0,025","22,0725","0,25",30%,"0,07",Mesa de Molhos,"0,807","4,09078","0,14",100%,"0,14",Espeto Vegetariano,"0,07","6,4458","1,47",10%,"0,15","8,8"
3,,07/01/2026,quarta-feira,,Arroz Branco II,,"0,105","325,2222","0,37",90%,"0,33",,Arroz Integral,"0,012","5,44351","0,06",10%,"0,01",Feijão Carioca II,"0,046","155,108","0,3",100%,"0,3",Feijoada L30,,"0,359","336,1311","6,99",60%,"4,19",CT Filé de Frango Grelhado L30,"0,304","146,6508",,"5,08",40%,"2,03",Ovos Mexidos com Queijo,"1,805",0,"1,09",0%,0,Couve Refogada,"0,085","53,9535","0,76",100%,"0,76",Farofa,"0,022","74,9363","0,1",100%,"0,1",Sopa de Feijão com Massa,"0,018","18,0156","0,09",30%,"0,03",Salada Mix de Folhas,"0,02","3,07","0,19",100%,"0,19",,,,,,,Salada de Tomate,"0,11","20,46","0,36",100%,"0,36",Salada de Repolho Roxo,"0,03","12,36","0,08",100%,"0,08",Salada de Grão de Bico,"0,021","55,887","0,16",100%,"0,16",,,,,,,Tortilla Trufada,"0,031","34,5415672","0,38",70%,"0,27",Gelatina Mix,"0,008","6,2784","0,32",20%,"0,06",Mamão,"0,13","6,565","0,51",10%,"0,05",Suco Concentrado 3,"0,08","12,152","0,99",100%,"0,99",Água Saborizada,"0,002","0,876336","0,01",100%,"0,01",,,,,,,Pão Francês Refeição,"0,025","22,0725","0,25",30%,"0,07",Mesa de Molhos,"0,807","4,09078","0,14",100%,"0,14",Torta Falafel L30,"0,103","23,75585","0,59",10%,"0,06","10,19"
4,,08/01/2026,quinta-feira,,Arroz Branco II,,"0,105","325,2222","0,37",90%,"0,33",,Arroz Integral,"0,012","5,44351","0,06",10%,"0,01",Feijão Carioca II,"0,046","155,108","0,3",100%,"0,3",Carne Assada L30,,"0,306","260,0295","10,35",60%,"6,21",Peixe Frito L30,"0,424","258,748",,"8,12",35%,"2,84",Ovo Frito L30,"3,003","0,45","1,72",5%,"0,09",Polenta Cremosa,"0,039","136,4215","0,17",100%,"0,17",Abobrinha Sauté,"0,074","3,41463","0,17",10%,"0,02",Sopa de Ervilha,"0,012","8,84427","0,1",30%,"0,03",Salada de Almeirão,"0,02","4,44","0,1",100%,"0,1",Salada Mix de Folhas,"0,02","3,07","0,19",100%,"0,19",Salada de Nabo com Hortelã,"0,015","3,3902","0,09",100%,"0,09",Salada de Cenoura Cozida Temperada,"0,074","27,6378345","0,22",99.9%,"0,21",Salada de Tomate,"0,11","14,322","0,36",70%,"0,25",Salada de Soja com Cebolinha,"0,017","3,6","0,1",10%,"0,01",Creme de Churros,"0,012","32,3904","0,16",70%,"0,11",Gelatina Mix,"0,008","6,2784","0,32",20%,"0,06",Melão,"0,13","4,264","0,49",10%,"0,05",Água Saborizada,"0,002","0,876336","0,01",100%,"0,01",Suco Detox de Beterraba com Limão,"0,016","4,8975","0,05",50%,"0,02",Suco Concentrado 3,"0,08","1,2152","0,99",10%,"0,1",Pão Francês Refeição,"0,025","22,0725","0,25",30%,"0,07",Mesa de Molhos,"0,807","4,09078","0,14",100%,"0,14",VG.Abobrinha Recheada de PTS,"0,199","18,93645","1,09",10%,"0,11","11,52"
5,,09/01/2026,sexta-feira,,Arroz Branco II,,"0,105","325,2222","0,37",90%,"0,33",,Arroz Integral,"0,012","5,44351","0,06",10%,"0,01",Feijão Carioca II,"0,046","155,108","0,3",100%,"0,3",CT Filé de Frango Grelhado L30,,"0,304","146,6508","5,08",40%,"2,03",Bife Acebolado L30,"0,343","4,84821",,"10,41",6%,"0,62",Ovo Cozido,"2,001",0,"1,14",5%,"0,06",Massa ao Sugo,"0,072","254,359","0,46",100%,"0,46",Virado de Couve,"0,044","111,71069","0,26",98%,"0,25",Sopa de Massa,"0,022","17,34975","0,09",30%,"0,03",Salada Mix de Folhas,"0,02","3,07","0,19",100%,"0,19",,,,,,,Salada de Tomate,"0,11","20,46","0,36",100%,"0,36",Salada de Repolho à Vinagrete,"0,035","11,722","0,09",100%,"0,09",Salada Mista Verde,"0,025","4,56","0,11",100%,"0,11",Salada de Tabule Tropical,"0,025","39,569702","0,13",99.8%,"0,13",Pudim de Morango com Calda de Chocolate,"0,015","66,71952","0,19",70%,"0,13",Gelatina Mix,"0,008","6,2784","0,32",20%,"0,06",Laranja,"0,1","4,05","0,38",10%,"0,04",Suco Concentrado 1,"0,075","65,88","0,93",100%,"0,93",Água Saborizada,"0,002","0,876336","0,01",100%,"0,01",,,,,,,Pão Francês Refeição,"0,025","22,0725","0,25",30%,"0,07",Mesa de Molhos,"0,807","4,09078","0,14",100%,"0,14",Escondidinho de Queijo com Legumes L30,"0,108","25,56661","1,19",10%,"0,12","6,47"
6,,10/01/2026,sábado,,Arroz Branco II,,"0,105","325,2222","0,37",90%,"0,33",,Arroz Integral,"0,012","5,44351","0,06",10%,"0,01",Feijão Carioca II,"0,046","155,108","0,3",100%,"0,3",Filé de Frango Grelhado L30,,"0,302","171,90675","5,05",50%,"2,52",Linguiça Toscana Acebolada L30,"0,31","85,1085",,"5,35",45%,"2,41",Ovos Cozidos com Vinagrete,"2,008","0,062925","1,16",5%,"0,06",Chuchu com Salsa,"0,075","33,1595","0,2",100%,"0,2",Batata Corada,"0,172","273,42","0,61",98%,"0,59",Sopa de Lentilha,"0,03","17,95155","0,26",30%,"0,08",Salada de Alface Crespa,"0,025","3,45","0,13",100%,"0,13",Salada Mix de Folhas,"0,02","3,07","0,19",100%,"0,19",Salada de Beterraba com Salsa,"0,071","37,237","0,17",100%,"0,17",Salada de Cebola Assada,"0,064","39,176784","0,17",99.9%,"0,17",Salada de Grãos,"0,022","38,8285872","0,15",99.8%,"0,15",Salada de Tomate,"0,11","14,322","0,36",70%,"0,25",Bavaroise de Maracujá,"0,017","38,6652","0,21",70%,"0,15",Gelatina Mix,"0,008","6,2784","0,32",20%,"0,06",Melão,"0,13","4,264","0,49",10%,"0,05",Suco Concentrado 2,"0,08","77,472","0,97",100%,"0,97",Água Saborizada,"0,002","0,876336","0,01",100%,"0,01",,,,,,,Pão Francês Refeição,"0,025","22,0725","0,25",30%,"0,07",Mesa de Molhos,"0,807","4,09078","0,14",100%,"0,14",Lasanha Vegetariana,"0,11","20,9523","0,95",10%,"0,1","9,11"
