Nº Cardápio,,Data,,,Nome,,Porção ,Calorias,Custo,% Cons,Custo per Capita,,Nome,Porção ,Calorias,Custo,% Cons,Custo per Capita,Nome,Porção ,Calorias,Custo,% Cons,Custo per Capita,Nome,,Porção ,Calorias,Custo,% Cons,Custo per Capita,Nome,Porção ,Calorias,,Custo,% Cons,Custo per Capita,Nome,Porção ,Calorias,Custo,% Cons,Custo per Capita,Nome,Porção ,Calorias,Custo,% Cons,Custo per Capita,Nome,Porção ,Calorias,Custo,% Cons,Custo per Capita,Nome,Porção ,Calorias,Custo,% Cons,Custo per Capita,Nome,Porção ,Calorias,Custo,% Cons,Custo per Capita,Nome,Porção ,Calorias,Custo,% Cons,Custo per Capita,Nome,Porção ,Calorias,Custo,% Cons,Custo per Capita,Nome,Porção ,Calorias,Custo,% Cons,Custo per Capita,Nome,Porção ,Calorias,Custo,% Cons,Custo per Capita,Nome,Porção ,Calorias,Custo,% Cons,Custo per Capita,Nome,Porção ,Calorias,Custo,% Cons,Custo per Capita,Nome,Porção ,Calorias,Custo,% Cons,Custo per Capita,Nome,Porção ,Calorias,Custo,% Cons,Custo per Capita,Nome,Porção ,Calorias,Custo,% Cons,Custo per Capita,Nome,Porção ,Calorias,Custo,% Cons,Custo per Capita,Nome,Porção ,Calorias,Custo,% Cons,Custo per Capita,Nome,Porção ,Calorias,Custo,% Cons,Custo per Capita,Nome,Porção ,Calorias,Custo,% Cons,Custo per Capita,Nome,Porção ,Calorias,Custo,% Cons,Custo per Capita,Nome,Porção ,Calorias,Custo,% Cons,Custo per Capita,
60,,01/01/2026,quinta-feira,,Arroz Branco,,"0,081","242,0586","0,31",90%,"0,28",,Arroz Integral,"0,047","18,4274","0,19",10%,"0,02",Feijão Carioca,"0,032","102,204","0,2",100%,"0,2",Fricassê de Frango L24,,"0,274","170,86","4,43",50%,"2,22",Bife Acebolado L24,"0,267","23,332",,"8,62",40%,"3,45",Ovo/Omelete,"1,005",27,"0,6",100%,"0,6",Mix de Folhas,"0,062","24,467","0,3",100%,"0,3",Acelga com Bacon,"0,083","23,1282","0,25",60%,"0,15",Sopa de Ervilha,"0,011","8,88147","0,1",30%,"0,03",,,,,,,Salada de Tomate,"0,12","22,32","0,4",100%,"0,4",Salada de Beterraba Ralada,"0,03","15,87","0,07",100%,"0,07",Salada de Lentilha,"0,023","32,225","0,2",100%,"0,2",Salada Mix de Alface,"0,02","2,39","0,11",100%,"0,11",Cocada Branca Cremosa,"0,03","80,475","0,41",50%,"0,21",Gelatina de Cereja,"0,004","2,0601","0,13",15%,"0,02",Banana,"0,1","15,255","0,32",15%,"0,05",Suco Post Mix 4,0,0,0,50%,0,Água Aromatizada,"0,003","0,38855","0,02",25%,0,Suco de Polpa de Manga,"0,05",0,"0,36",0%,0,Refrigerante Post Mix,"0,003","0,490602","0,18",50%,"0,09",Pão Francês Refeição,"0,025","22,0725",0,30%,0,Mesa de Molhos,"1,213","43,092065","0,25",100%,"0,25",Molho de Manjericão,"0,003","4,98474","0,12",30%,"0,04",Molho de Limão para Salada,"0,001","0,65205","0,01",30%,0,"8,69"
61,,02/01/2026,sexta-feira,,Arroz Branco,,"0,081","242,0586","0,31",90%,"0,28",,Arroz Integral,"0,047","18,4274","0,19",10%,"0,02",Feijão Carioca II,"0,042","137,029","0,25",100%,"0,25",Filé de Frango à Milanesa L24,,"0,318","283,232","4,6",40%,"1,84",Iscas Bovina Acebolada L24,"0,297","28,528",,"7,71",40%,"3,09",Ovo/Omelete,"1,005","12,15","0,6",45%,"0,27",Purê de Batata,"0,014","139,233168","0,29",270%,"0,79",Risoto de Berinjela,"0,105","220,1","0,46",100%,"0,46",Sopa Creme de Abóbora,"0,062","12,08562","0,21",30%,"0,06",Salada de Alface Crespa,"0,025","3,45","0,13",100%,"0,13",Salada de Tomate,"0,12","22,32","0,4",100%,"0,4",Salada de Acelga com Abacaxi,"0,045","15,525","0,08",100%,"0,08",Salada de PTS ao Vinagrete,"0,018",0,"0,15",0%,0,,,,,,,Cocada Branca Cremosa,"0,03","136,8075","0,41",85%,"0,35",Gelatina de Limão,"0,01","5,886","0,37",15%,"0,06",Melão,"0,13",0,"0,49",0%,0,Suco Post Mix 5,0,0,0,50%,0,Suco de Polpa de Goiaba,"0,05","8,46","0,37",30%,"0,11",Água Aromatizada,"0,003","0,38855","0,02",25%,0,Refrigerante Post Mix,"0,003","0,490602","0,18",50%,"0,09",Pão Francês Refeição,"0,025","22,0725",0,30%,0,Mesa de Molhos,"1,213","43,092065","0,25",100%,"0,25",Molho Italiano para Salada,"0,011","0,86874","0,04",30%,"0,01",Molho de Mostarda e Mel,"0,008","6,13542","0,12",30%,"0,03","8,57"
62,,03/01/2026,sábado,,Arroz Branco,,"0,081","242,0586","0,31",90%,"0,28",,Arroz Integral,"0,047","18,4274","0,19",10%,"0,02",Feijão Carioca,"0,032","102,204","0,2",100%,"0,2",Bife ao Molho Mostarda L24,,"0,249","7,9404","8,24",60%,"4,94",Linguiça Calabresa Acebolada L24,"0,261","3,98526",,"4,01",30%,"1,2",Ovo/Omelete,"1,005","12,15","0,6",45%,"0,27",Repolho Refogado,"0,087","26,8512","0,23",60%,"0,14",Abobrinha ao Forno,"0,081","10,848","0,18",40%,"0,07",Sopa de Lentilha,"0,034","67,28","0,32",100%,"0,32",Salada de Alface Roxa,"0,03","4,14","0,16",100%,"0,16",Salada de Tomate,"0,12","22,32","0,4",100%,"0,4",Salada de Macarronese,"0,053","162,034","0,33",100%,"0,33",Salada Mix de Grãos,"0,021","38,873","0,14",100%,"0,14",,,,,,,Doce de Leite Cremoso,"0,01",27,"0,1",100%,"0,1",,,,,,,Maçã,"0,1",0,"0,77",0%,0,Suco Post Mix 6,0,0,0,50%,0,Suco de Polpa de Maracujá,"0,08","42,204","0,96",30%,"0,29",Água Aromatizada,"0,003","0,38855","0,02",25%,0,Refrigerante Post Mix,"0,003","0,490602","0,18",50%,"0,09",Pão Francês Refeição,"0,025","22,0725",0,30%,0,Mesa de Molhos,"1,213","43,092065","0,25",100%,"0,25",Molho Rosê para Salada,"0,013","8,166","0,09",30%,"0,03",Molho de Hortelã para Salada,"0,012","0,96915","0,05",30%,"0,01","9,24"
63,,04/01/2026,domingo,,Arroz Branco,,"0,081","242,0586","0,31",90%,"0,28",,Arroz Integral,"0,047","18,4274","0,19",10%,"0,02",Feijão Carioca,"0,032","91,9836","0,2",90%,"0,18",Cubos com Batata L24,,"0,329","66,70992","7,55",94%,"7,09",Rondeli de Quatro Queijos L24,"0,284",0,,"4,71",0%,0,Ovo/Omelete,"1,005","12,15","0,6",45%,"0,27",Legumes Saute,"0,076","19,164","0,23",100%,"0,23",Farofa,"0,028","49,8661","0,13",50%,"0,06",Sopa de Caldo Verde,"0,062","10,08645","0,29",30%,"0,09",Salada de Alface Americana,"0,025","2,525","0,14",100%,"0,14",Salada de Tomate,"0,12","22,32","0,4",100%,"0,4",Salada de Lentilha,"0,023","32,225","0,2",100%,"0,2",Salada de Batata Bolinha ao Vinagrete,"0,087","54,864","0,22",100%,"0,22",,,,,,,Doce de Abóbora com Coco,"0,081","207,29961","0,63",90%,"0,57",Gelatina de Uva,"0,01","3,924","0,37",10%,"0,04",Laranja,"0,1",0,"0,38",0%,0,Suco Post Mix 7,0,0,0,50%,0,Água Aromatizada,"0,003","0,38855","0,02",25%,0,Suco de Polpa de Morango,"0,065","22,444","0,49",20%,"0,1",Refrigerante Post Mix,"0,003","0,490602","0,18",50%,"0,09",Pão Francês Refeição,"0,025","22,0725",0,30%,0,Mesa de Molhos,"1,213","43,092065","0,25",100%,"0,25",Molho Vinagrete,"0,01","0,73674","0,05",30%,"0,01",Molho Agridoce para Salada,"0,001","1,1574","0,01",30%,0,"10,24"
1,,05/01/2026,segunda-feira,,Arroz Branco,,"0,081","242,0586","0,31",90%,"0,28",,Arroz Integral,"0,047","18,4274","0,19",10%,"0,02",Feijão Carioca II,"0,042","137,029","0,25",100%,"0,25",Torta Madalena L24,,"0,219","166,88592","6,56",48%,"3,15",Pernil ao Molho de Limão L24,"0,254","183,1912",,"4,45",40%,"1,78",Ovo/Omelete,"1,005","12,15","0,6",45%,"0,27",Escarola Refogada,"0,001","4,5","0,01",100%,"0,01",Virado de Folhas,"0,073","140,257","0,29",100%,"0,29",Sopa de Feijão com Massa,"0,017","18,0156","0,09",30%,"0,03",Salada de Alface Crespa,"0,025","3,45","0,13",100%,"0,13",Salada de Tomate,"0,12","22,32","0,4",100%,"0,4",Salada de Cenoura Ralada,"0,04","15,2028","0,12",100%,"0,12",Salada de Grão de Bico com Hortelã,"0,017","64,126","0,15",100%,"0,15",,,,,,,Pudim de Coco com Calda de Ameixa,"0,029","80,801","0,34",85%,"0,29",Gelatina de Morango,"0,01","3,924","0,37",10%,"0,04",Melão,"0,13",0,"0,49",0%,0,Suco Post Mix 1,0,0,0,50%,0,Suco de Polpa de Abacaxi,"0,08","40,944","0,48",30%,"0,14",Água Aromatizada,"0,003","0,38855","0,02",25%,0,Refrigerante Post Mix,"0,003","0,490602","0,18",50%,"0,09",Pão Francês Refeição,"0,025","22,0725",0,30%,0,Mesa de Molhos,"1,213","43,092065","0,25",100%,"0,25",Molho de Ervas,"0,004","4,99914","0,12",30%,"0,04",Molho Rosê para Salada,"0,013","8,166","0,09",30%,"0,03","7,76"
2,,06/01/2026,terça-feira,,Arroz Branco,,"0,081","242,0586","0,31",90%,"0,28",,Arroz Integral,"0,047","18,4274","0,19",10%,"0,02",Feijão Carioca,"0,032","102,204","0,2",100%,"0,2",Sobrecoxa Assada L24,,"0,353","464,72679","3,34",53%,"1,77",Linguica Calabresa com Cebola e Pimentão L24,"0,262","9,09684",,"4,04",36%,"1,46",Ovo/Omelete,"1,005","12,15","0,6",45%,"0,27",Polenta Cremosa,"0,027","127,4949","0,14",130%,"0,18",Farofa,"0,028","99,7322","0,13",100%,"0,13",Sopa Creme de Ervilhas,"0,048","74,514","0,33",100%,"0,33",Salada de Alface Lisa,"0,025","3,45","0,13",100%,"0,13",Salada de Tomate,"0,12","22,32","0,4",100%,"0,4",Salada de Feijão Fradinho,"0,013","35,917","0,07",100%,"0,07",Salada de Patê de Azeitonas com Torradas,"0,015","22,615","0,16",100%,"0,16",,,,,,,Flan de Baunilha com Calda de Caramelo,"0,029","102,0788","0,27",80%,"0,22",Gelatina de Pêssego,"0,01","5,886","0,37",15%,"0,06",Melancia,"0,12",0,"0,24",0%,0,Suco Post Mix 2,0,0,0,50%,0,Água Aromatizada,"0,003","0,38855","0,02",25%,0,Suco de Polpa de Maracujá,"0,08","28,136","0,96",20%,"0,19",Refrigerante Post Mix,"0,003","0,490602","0,18",50%,"0,09",Pão Francês Refeição,"0,025","22,0725",0,30%,0,Mesa de Molhos,"1,213","43,092065","0,25",100%,"0,25",Molho Shoyo,"0,006","5,37342","0,13",30%,"0,04",Molho de Limão para Salada,"0,001","0,65205","0,01",30%,0,"6,25"
3,,07/01/2026,quarta-feira,,Arroz Branco,,"0,081","242,0586","0,31",90%,"0,28",,Arroz Integral,"0,047","18,4274","0,19",10%,"0,02",Feijão Carioca II,"0,042","137,029","0,25",100%,"0,25",Bife Acebolado L24,,"0,267","33,2481","8,62",57%,"4,91",Peixe à Portuguesa L24,"0,502","31,999482",,"5,57",43%,"2,4",Ovo/Omelete,"1,005","12,15","0,6",45%,"0,27",Panache Verde,"0,058","31,6784","0,26",100%,"0,26",Massa ao Sugo,"0,088","159,6795","0,44",50%,"0,22",Sopa de Abóbora,"0,031","12,525","0,19",30%,"0,06",Salada de Alface Americana,"0,025","2,525","0,14",100%,"0,14",Salada de Tomate,"0,12","22,32","0,4",100%,"0,4",Salada de Nabo com Hortelã,"0,015","3,3902","0,09",100%,"0,09",Salada de PTS ao Vinagrete,"0,018",0,"0,16",0%,0,,,,,,,Pudim de Morango com Calda de Chocolate,"0,015","81,01656","0,19",85%,"0,16",Gelatina de Abacaxi,"0,002","1,1772","0,07",15%,"0,01",Mamão,"0,13",0,"0,51",0%,0,Suco Post Mix 3,0,0,0,50%,0,Suco de Polpa de Manga,"0,05","9,92","0,36",40%,"0,14",Água Aromatizada,"0,003","0,38855","0,02",25%,0,Refrigerante Post Mix,"0,003","0,490602","0,18",50%,"0,09",Pão Francês Refeição,"0,025","22,0725",0,30%,0,Mesa de Molhos,"1,213","43,092065","0,25",100%,"0,25",Molho Vinagrete,"0,01","0,73674","0,05",30%,"0,01",Molho Mostarda para Salada,"0,011","3,80118","0,06",30%,"0,02","9,98"
4,,08/01/2026,quinta-feira,,Arroz Branco,,"0,081","242,0586","0,31",90%,"0,28",,Arroz Integral,"0,047","18,4274","0,19",10%,"0,02",Feijão Carioca,"0,032","102,204","0,2",100%,"0,2",Contra Filé Acebolado L24,,"0,25","238,4256","11,05",64%,"7,07",Lasanha de Frios L24,"0,018",0,,"0,15",0%,0,Ovo/Omelete,"1,005","12,15","0,6",45%,"0,27",Pirão de Peixe,"0,026","62,8055","0,23",100%,"0,23",Legumes Assados,"0,09","70,178","0,37",100%,"0,37",Sopa Francesa de Cebola Gratinada,"0,021","11,216112","0,24",30%,"0,07",,,,,,,Salada de Tomate,"0,12","22,32","0,4",100%,"0,4",Salada de Beterraba Ralada,"0,03","15,87","0,07",100%,"0,07",Salada de Feijão Branco,"0,02","34,3155","0,19",100%,"0,19",Salada Mix de Alface,"0,02","2,39","0,11",100%,"0,11",Pudim de Chocolate com Calda de Frutas Vermelhas,"0,015","45,86532","0,2",85%,"0,17",Gelatina de Limão,"0,01","5,886","0,37",15%,"0,06",Abacaxi,"0,13",0,"0,49",0%,0,Suco Post Mix 4,0,0,0,50%,0,Suco de Polpa de Caju,"0,08","41,904","0,47",30%,"0,14",Água Aromatizada,"0,003","0,38855","0,02",25%,0,Refrigerante Post Mix,"0,003","0,490602","0,18",50%,"0,09",Pão Francês Refeição,"0,025","22,0725",0,30%,0,Mesa de Molhos,"1,213","43,092065","0,25",100%,"0,25",Molho de Manjericão,"0,003","4,98474","0,12",30%,"0,04",Molho de Limão para Salada,"0,001","0,65205","0,01",30%,0,"10,03"
5,,09/01/2026,sexta-feira,,Arroz Branco,,"0,081","242,0586","0,31",90%,"0,28",,Arroz Integral,"0,047","18,4274","0,19",10%,"0,02",Feijão Carioca II,"0,042","137,029","0,25",100%,"0,25",Filé de Frango Grelhado L24,,"0,254","168,28","4,22",56%,"2,36",Lombo Assado L24,"0,275","284,092776",,"5,06",44%,"2,22",Ovo/Omelete,"1,005","12,15","0,6",45%,"0,27",Creme de Milho,"0,038","115,1164","0,33",140%,"0,46",Repolho Refogado,"0,087","17,9008","0,23",40%,"0,09",Sopa de Legumes com Massa,"0,062","21,92955","0,19",30%,"0,06",Salada de Alface Crespa,"0,025","3,45","0,13",100%,"0,13",Salada de Tomate,"0,12","22,32","0,4",100%,"0,4",Salada de Vinagretão,"0,045","11,865","0,17",100%,"0,17",Salada de PTS ao Vinagrete,"0,018",0,"0,16",0%,0,,,,,,,Spumoni de Morango,"0,007","15,9264","0,15",80%,"0,12",Gelatina de Pêssego,"0,01","5,886","0,37",15%,"0,06",Laranja,"0,1",0,"0,38",0%,0,Suco Post Mix 5,0,0,0,50%,0,Água Aromatizada,"0,003","0,7771","0,02",50%,"0,01",Suco de Polpa de Goiaba,"0,05","8,46","0,37",30%,"0,11",Refrigerante Post Mix,"0,003","0,490602","0,18",50%,"0,09",Pão Francês Refeição,"0,025","22,0725",0,30%,0,Mesa de Molhos,"1,213","43,092065","0,25",100%,"0,25",Molho Italiano para Salada,"0,011","0,86874","0,04",30%,"0,01",Molho de Pimenta,"0,006","4,82754","0,04",30%,"0,01","7,37"
6,,10/01/2026,sábado,,Arroz Branco,,"0,081","242,0586","0,31",90%,"0,28",,Arroz Integral,"0,047","18,4274","0,19",10%,"0,02",Feijão Carioca,"0,032","102,204","0,2",100%,"0,2",Copa Lombo ao Molho de Tomate L24,,"0,26","233,1074","4,73",40%,"1,89",Kibe Assado L24,"0,252","66,7",,"3,88",25%,"0,97",Ovo/Omelete,"1,005","12,15","0,6",45%,"0,27",Purê Misto,"0,037","178,79888","0,34",260%,"0,89",Mix de Legumes,"0,096","26,844","0,43",100%,"0,43",Sopa de Canja,"0,035","46,3658","0,25",100%,"0,25",Salada de Alface Lisa,"0,025","3,45","0,13",100%,"0,13",Salada de Tomate,"0,12","22,32","0,4",100%,"0,4",Salada de Rabanete,"0,015","2,595","0,09",100%,"0,09",Salada de Feijão Branco com Manjericão,"0,016","33,26","0,25",100%,"0,25",,,,,,,Doce de Banana,"0,06","151,2","0,45",90%,"0,41",Gelatina de Uva,"0,01","3,924","0,37",10%,"0,04",Maçã,"0,1",0,"0,77",0%,0,Suco Post Mix 6,0,0,0,50%,0,Água Aromatizada,"0,003","0,38855","0,02",25%,0,Suco de Polpa de Uva,"0,08","29,416","0,67",20%,"0,13",Refrigerante Post Mix,"0,003","0,490602","0,18",50%,"0,09",Pão Francês Refeição,"0,025","22,0725",0,30%,0,Mesa de Molhos,"1,213","43,092065","0,25",100%,"0,25",Molho Rosê para Salada,"0,013","8,166","0,09",30%,"0,03",Molho de Hortelã para Salada,"0,012","0,96915","0,05",30%,"0,01","7,03"
