Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
,Classe de Custo,Set/24,Out/24,Nov/24,Dez/24,Jan/25,Fev/25,Mar/25,Abr/25,Mai/25,Jun/25,Jul/25,Ago/25,Total Exer,,Classe de Custo,Set/25,Out/25,Nov/25,Dez/25,Jan/26,Total Exer,,,
,    61529561  Manutenções pred,5263.5,4328.77,1306.8,2958.45,2958.45,12907.29,0,0,0,0,0,0,29723.26,,    61359605  Locação equip TI,196.02,451.15,267.49,987.68,0,1902.34,,,
,    62869831  Outras despesas,0,0,0,0,0,0,0,0,0,5.97,0,0,5.97,,    61519611  Manutenção de in,4290.13,1031.01,1920.27,0,0,7241.41,,,
,    61359605  Locação equip TI,107.91,196.03,196.02,132.33,196.02,196.81,196.02,196.02,196.02,196.02,196.02,196.02,2201.24,,    61519612  Manutenção equip,0,1.51,0,0,0,1.51,,,
,    60669622  Aquisição utensí,0,0,0,0,0,0,0,0,0,188,0,0,188,,    62629701  Telefones,144.28,174.92,190.14,194.39,132.21,835.94,,,
,    60669624  Aquisição kit vi,0,0,0,0,0,0,0,0,0,240,0,0,240,,    62619702  Correios,42.43,0,39.45,0,0,81.88,,,
,    60669627  Aquis Mat Multis,0,0,0,0,0,99.5,0,0,0,0,0,0,99.5,,    62629706  Telecomunicações,0,149.9,0,299.8,0,449.7,,,
,    61519611  Manutenção de in,272.08,136.04,0,1497.29,136.04,0,812.13,136.04,4900.48,1905.66,3030.06,136.04,12961.86,,    60649744  Outros mats escr,0,0,0,34,0,34,,,
,    62629701  Telefones,226.35,143.07,164.45,176.36,149.84,125.99,78.73,118.91,145.6,130.32,125.8,130.54,1715.96,,    62569751  Ônibus e Táxi Vi,204.35,146.36,194.3,103.01,-103.01,545.01,,,
,    62619702  Correios,87.78,58.52,0,0,0,45.19,0,0,14.01,0,0,0,205.5,,    62569753  Reembolso KM,49.35,1183.04,740.6,573.49,846.4,3392.88,,,
,    60649744  Outros mats escr,0,0,993.33,3098.77,0,0,0,0,0,0,0,0,4092.1,,    62339755  Estadias e refei,0,0,0,0,190.65,190.65,,,
,    62569751  Ônibus e Táxi Vi,0,214.3,352.62,0,-21.29,0,0,25.54,74.47,0,532.11,67.99,1245.74,,    62569779  Pedágio,0,11.4,68.3,0,0,79.7,,,
,    62569753  Reembolso KM,516.43,972.07,0,0,766.11,884.52,565.32,368.5,521.7,516.11,221.19,221.19,5553.14,,    62569775  Cartão Combustív,0,1145.76,1038.78,1038.78,1039.78,4263.1,,,
,    62339755  Estadias e refei,0,0,0,0,14.26,0,0,0,5.18,30.21,0,0,49.65,,    62529753  Combustíveis,456.66,499.15,403.79,403.87,780.97,2544.44,,,
,    62569779  Pedágio,2.7,12,0,0,0,0,0,0,0,0,0,0,14.7,,    62299652  Advocacias,0,136.47,0,0,0,136.47,,,
,    62529753  Combustíveis,519.54,526.75,506.79,266.55,814.35,1003.31,961.24,895.36,385.12,835.09,423.98,100.3,7238.38,,    62869653  Consultorias,32.26,1256.94,41.16,41.13,11.37,1382.86,,,
,    62859791  Multas dedutívei,0.01,9.51,5287.11,0,0,0,41.2,0,5.96,0,0,0,5343.79,,    62109654  Consultorias inf,124.63,50.12,0,0,136.03,310.78,,,
,    62299652  Advocacias,0,0,0,210,0,0,0,0,0,0,0,0,210,,    62199681  Licenças,183.15,-183.15,0,0,0,0,,,
,    62869677  Cartórios,20,0,0,0,40,0,0,0,0,0,0,0,60,,    62869683  Treinamento pess,433.75,311.23,1864.04,1245.2,311.3,4165.52,,,
,    62869653  Consultorias,161.36,24.14,29.18,49.88,240.92,26.37,190.3,32.51,549.25,170.54,640.93,453.1,2568.48,,    62869686  Confraternizaçõe,157.19,99,0,0,0,256.19,,,
,    62109654  Consultorias inf,32.56,44.43,38.61,38.7,44.91,34.49,34.5,28.67,41.29,37.64,37.77,44.19,457.76,,    62209808  Interco - Outros,0,0,28.54,0,0,28.54,,,
,    62199681  Licenças,123.94,123.94,123.94,123.94,123.94,123.94,123.94,123.94,123.94,123.94,123.94,123.94,1487.28,,    62869502  Transf interna c,16.88,25.47,30.99,98.19,0,171.53,,,
