Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,12,11,10,9,8,7,6,5,Unnamed: 13,Unnamed: 14,Unnamed: 15,4,3,2,1,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
Classe de Custo,Set/24,Out/24,Nov/24,Dez/24,Jan/25,Fev/25,Mar/25,Abr/25,Mai/25,Jun/25,Jul/25,Ago/25,Total Exer,,Classe de Custo,Set/25,Out/25,Nov/25,Dez/25,Jan/26,Total Exer,,,
    60249010  Uniformes,0,0,0,626.96,0,0,513.93,214.67,42.2,107.34,734.11,0,2239.21,,    60249010  Uniformes,1920.99,849.7,0,21.87,51.91,2844.47,Média Mês,1271.1633333333334,
    62708601  Comissões/desp b,0,0,1.58,0,0,0,0,0,0,0,0,0,1.58,,    66108652  Taxa vale convên,289.25,154.4,81.12,44.81,33.19,602.77,,,
    66108652  Taxa vale convên,94.76,121.08,70.02,22.48,11.49,25.63,66.22,82.54,120.44,215.53,95.89,199.64,1125.72,,    61329552  Aluguel arqu cen,0.88,0.89,0.89,0.9,0.91,4.47,,,
    61329552  Aluguel arqu cen,0.79,0.81,0.79,0.8,0.85,0.81,0.85,0.86,0.86,0.86,0.87,0.87,10.02,,    61149673  Limp/lavand/desi,0,521.92,0,458.71,911.26,1891.89,,,
    61329553  Locação de salas,0,0,0,0,0,0,0,0,431.91,0,0,0,431.91,,    61359602  Locação utensíli,0,0,0,5110.33,406.38,5516.71,,,
    61149673  Limp/lavand/desi,0,0,754.47,535.6,0,344.59,407.63,0,0,0,0,529.01,2571.3,,    61359605  Locação equip TI,920.5,955.8,841.09,301.63,0,3019.02,,,
    62869831  Outras despesas,0,0,0,0,0,0,0,0,0,5.97,0,0,5.97,,    60669622  Aquisição utensí,1710.64,1314.43,168.43,3977.1,618.57,7789.17,,,
    61359602  Locação utensíli,0,0,5557.29,0,0,0,0,0,379.61,0,7389.92,1462.52,14789.34,,    60669624  Aquisição kit vi,0,0,0,326.98,0,326.98,,,
    61359605  Locação equip TI,823.51,881.63,870.02,840.15,837.38,836.26,908.97,1156.39,823.32,1444.88,1079.2,1019.23,11520.94,,    61579625  Aquisição mat in,0,46.18,0,0,54.9,101.08,,,
    60669622  Aquisição utensí,22.9,31.21,68.3,10.4,20.81,20.81,0,0,0,0,353.29,204.49,732.21,,    61519611  Manutenção de in,1352.16,326.7,768.65,0,604.39,3051.9,,,
    61579625  Aquisição mat in,0,0,0,0,0,0,138.9,0,0,0,90.66,0,229.56,,    61519612  Manutenção equip,3.68,3.02,0,0,0,6.7,Média Mês,82.94333333333334,
    60669627  Aquis Mat Multis,0,0,0,0,0,0,17.5,0,0,0,0,0,17.5,,    62629701  Telefones,216.33,128.64,40.22,359.35,42.28,786.82,,,
    61519611  Manutenção de in,755.04,3870.49,-499.13,1415.7,3325.99,753.22,190.57,1412.07,1040.89,3379.53,2329.55,1966.55,19940.47,,    62629706  Telecomunicações,0,288.8,0,0,0,288.8,,,
    61519612  Manutenção equip,0,0,0,0,0,6.48,6.5,7.48,15.75,10.44,4.71,3.14,54.5,,    62869741  Cópias,0,0,0,0,177.8,177.8,,,
    62629701  Telefones,241.8,200.27,191.58,189.28,175.18,152.47,165.19,32.29,143.87,121.14,293.32,224.49,2130.88,,    62369742  Impressos,0,190.8,0,0,0,190.8,,,
    62629706  Telecomunicações,254.5,254.5,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,0,99.9,1408.1,,    60649744  Outros mats escr,590.17,894.35,0,0,695.83,2180.35,,,
    62869741  Cópias,214.63,0,0,0,0,0,0,0,0,0,0,0,214.63,,    62569751  Ônibus e Táxi Vi,466.89,114.08,2148.66,1278.54,-935.47,3072.7,,,
    62369742  Impressos,3.27,0,0,0,0,0,0,0,0,0,190.8,4.5,198.57,,    62569753  Reembolso KM,0,0,105.8,475.8,317.4,899,,,
    60649744  Outros mats escr,0,453.17,1290.92,0,0,0,0,18.99,516.04,0,14.84,199,2492.96,,    62339755  Estadias e refei,0,391.84,-391.84,0,0,0,,,
    62569751  Ônibus e Táxi Vi,0,673.09,736.1,214.97,0.4,84.47,161.34,2753.93,362.08,0,2543.41,68.47,7598.26,,    62569775  Cartão Combustív,551.75,549.75,549.75,298.36,299.36,2248.97,,,
    62569753  Reembolso KM,282.89,282.91,59.62,3.68,344.19,530.27,310.37,221.08,150.88,294.92,147.46,73.73,2702,,    62869776  Fretes e carreto,0,0,0,25.4,0,25.4,,,
    62339755  Estadias e refei,0,0,0,0,48.42,0,0,0,412.39,624.04,0,0,1084.85,,    63109524  Outras Contrib s,100.82,103.31,104.51,0,0,308.64,,,
    62569779  Pedágio,5.4,5.4,0,17.4,10.8,0,0,0,0,0,0,0,39,,    63109583  Taxa munic/estad,0,0,0,-363.68,0,-363.68,,,
    62569778  Estacionamento,0,0,0,0,0,0,0,125,0,0,0,0,125,,    62869653  Consultorias,24.63,28.47,31.5,426.19,15.16,525.95,,,
    62569775  Cartão Combustív,298.36,827.87,549.75,549.75,548.71,549.75,345.65,549.75,551.75,549.75,389.13,538.28,6248.5,,    62109654  Consultorias inf,74.3,44.47,0,0,90.66,209.43,,,
    63109524  Outras Contrib s,0,0,0,120.05,110.5,0,0,0,0,0,0,0,230.55,,    62199681  Licenças,183.15,-183.15,0,0,0,0,,,
    63109583  Taxa munic/estad,0,0,0,0,0,0,338.3,-312.59,0,0,363.68,0,389.39,,    62869683  Treinamento pess,356.33,311.23,0,622.6,311.3,1601.46,,,
    62859791  Multas dedutívei,0.01,0,0,0,0,0,0,0,0,0,0,0,0.01,,    62209808  Interco - Outros,0,46.93,77.93,22.66,0,147.52,,,
    62869653  Consultorias,442.77,406.3,129.37,54.08,25.91,22.87,386.79,72.88,386.34,23.35,26.9,48.82,2026.38,,    62869502  Transf interna c,72.48,25.47,141.17,152.26,0,391.38,,,
    62109654  Consultorias inf,28.94,40.81,40.85,41.04,42.86,41.11,41.38,28.67,41.32,37.67,37.77,37.64,460.06,,    62319721  Brindes,0,0,1164.88,0,0,1164.88,,,
    62199681  Licenças,123.94,123.94,123.94,123.94,123.94,123.94,123.94,123.94,123.94,123.94,123.94,123.94,1487.28,,,,,,,,,,,
    62869683  Treinamento pess,0,1149.87,0,941.86,0,233.17,233.88,0,0,532.72,548.6,4.94,3645.04,,,,,,,,,,,
    62869686  Confraternizaçõe,0,0,0,0,1.82,0,0,0,0,0,0,0,1.82,,,,,,,,,,,
    62209808  Interco - Outros,0,62.4,24.38,0,116.86,0,0,65.52,0,0,86,18.48,373.64,,,,,,,,,,,
    62839685  Analise física/b,0,0,0,884.81,0,0,0,0,0,0,0,0,884.81,,,,,,,,,,,
    62869502  Transf interna c,52.38,52.75,72.15,63.37,63.53,63.1,52.93,53.07,63.14,55.05,55.32,55.51,702.3,,,,,,,,,,,
    62319712  Publicidades,0,0,0,0,6.58,0,0,0,0,0,0,0,6.58,,,,,,,,,,,
    62319721  Brindes,0,0,0,1134.37,1134.37,0,0,0,0,0,0,0,2268.74,,,,,,,,,,,
*   Outras Despesas,4393.14,10386.04,10736.74,8507.18,7949.55,4514.47,5133.49,7653.89,7060.72,9026.54,18268.25,7617.03,101247.04,,*   Outras Despesas,9493.72,8965.3,6772.89,14429.72,4303,43964.63,,,
    70908052  Descto Financ.Fo,-33509.12,-31608.85,-27625.55,-28385.76,-30841.71,-27986.27,-35683.88,-34238,-31692.03,-43524.8,-36446.78,-52987.08,-414529.83,,    70908052  Descto Financ.Fo,-39855.55,-45706.73,-40579.37,-32515.54,-4298.69,-162955.88,,,
    70908054  Bonificação Inte,-861.61,-680.5,-652.42,-719.53,-838.02,-800.44,-997.67,-855.68,-811.01,-1125.14,-895.83,-23.75,-9261.6,,    70908054  Bonificação Inte,-1231.27,-1316.43,-1285.63,-1100.63,0,-4933.96,,,
*   Bonificação,-34370.73,-32289.35,-28277.97,-29105.29,-31679.73,-28786.71,-36681.55,-35093.68,-32503.04,-44649.94,-37342.61,-53010.83,-423791.43,,*   Bonificação,-41086.82,-47023.16,-41865,-33616.17,-4298.69,-167889.84,,,
**  Gross Profit Exc. IFRS16,-16974.11,-43004.78,-38931.52,-21724.86,-6017.88,-56977.25,-61454.73,-37120.26,-70720.95,-49187.81,-8025.91,-84400.35,-494540.41,,**  Gross Profit Exc. IFRS16,-82811.5,-60579.04,-82553.46,-38484.73,236846.65,-27582.08,,,
*** *Total,-16974.11,-43004.78,-38931.52,-21724.86,-6017.88,-56977.25,-61454.73,-37120.26,-70720.95,-49187.81,-8025.91,-84400.35,-494540.41,,*** *Total,-82811.5,-60579.04,-82553.46,-38484.73,236846.65,-27582.08,,,
